date,region,plan,seats,seat_price_usd
2025-01-02,AMER,Solo,10,29
2025-01-02,LATAM,Scale,1,249
2025-01-05,AMER,Enterprise,2,999
2025-01-05,EMEA,Enterprise,10,999
2025-01-08,LATAM,Enterprise,5,999
2025-01-11,AMER,Solo,10,29
2025-01-11,EMEA,Solo,1,29
2025-01-11,EMEA,Solo,2,29
2025-01-13,AMER,Enterprise,3,999
2025-01-15,AMER,Enterprise,1,999
2025-01-17,APAC,Solo,1,29
2025-01-19,EMEA,Solo,1,29
2025-01-20,APAC,Solo,3,29
2025-01-20,EMEA,Scale,2,249
2025-01-21,APAC,Enterprise,1,999
2025-01-21,APAC,Solo,1,29
2025-01-22,AMER,Solo,1,29
2025-01-22,EMEA,Scale,2,249
2025-01-22,EMEA,Team,1,79
2025-01-24,AMER,Team,5,79
2025-01-26,APAC,Team,3,79
2025-01-27,AMER,Team,1,79
2025-01-29,AMER,Solo,1,29
2025-01-29,AMER,Solo,1,29
2025-01-31,AMER,Solo,1,29
2025-02-01,LATAM,Scale,1,249
2025-02-02,EMEA,Team,2,79
2025-02-05,LATAM,Solo,2,29
2025-02-06,APAC,Solo,1,29
2025-02-07,EMEA,Scale,2,249
2025-02-07,EMEA,Team,1,79
2025-02-09,EMEA,Enterprise,1,999
2025-02-10,AMER,Team,1,79
2025-02-11,AMER,Solo,1,29
2025-02-11,AMER,Solo,3,29
2025-02-11,AMER,Solo,10,29
2025-02-11,EMEA,Team,1,79
2025-02-13,AMER,Solo,3,29
2025-02-13,EMEA,Solo,1,29
2025-02-14,AMER,Team,3,79
2025-02-14,EMEA,Solo,1,29
2025-02-16,EMEA,Solo,1,29
2025-02-18,AMER,Solo,1,29
2025-02-20,APAC,Solo,2,29
2025-02-20,APAC,Team,1,79
2025-02-21,EMEA,Team,3,79
2025-02-22,AMER,Team,5,79
2025-02-22,APAC,Team,2,79
2025-02-23,APAC,Solo,3,29
2025-02-24,APAC,Solo,1,29
2025-02-24,APAC,Solo,3,29
2025-02-25,EMEA,Scale,1,249
2025-02-25,EMEA,Team,2,79
2025-02-26,EMEA,Solo,1,29
2025-02-27,LATAM,Scale,3,249
2025-02-28,APAC,Solo,1,29
2025-02-28,EMEA,Solo,3,29
2025-02-28,EMEA,Solo,3,29
2025-02-28,EMEA,Team,1,79
2025-03-04,AMER,Team,3,79
2025-03-04,EMEA,Scale,2,249
2025-03-05,AMER,Scale,1,249
2025-03-06,AMER,Enterprise,2,999
2025-03-06,APAC,Team,3,79
2025-03-07,EMEA,Scale,3,249
2025-03-07,LATAM,Team,5,79
2025-03-08,EMEA,Team,2,79
2025-03-10,AMER,Team,3,79
2025-03-11,APAC,Solo,1,29
2025-03-12,AMER,Solo,3,29
2025-03-12,APAC,Solo,2,29
2025-03-13,APAC,Team,5,79
2025-03-14,AMER,Solo,1,29
2025-03-14,APAC,Enterprise,1,999
2025-03-14,APAC,Solo,2,29
2025-03-15,AMER,Solo,1,29
2025-03-16,LATAM,Team,3,79
2025-03-17,AMER,Solo,1,29
2025-03-17,APAC,Team,1,79
2025-03-17,EMEA,Solo,1,29
